dept,number,prof,year,semester,section,A,B,C,D,F,I,S,U,Q,X,gpa
CSCE,221,LEYK T,2012,SPRING,4036,51,53,20,16,6,0,0,0,8,0,2.87
CSCE,221,LEYK T,2012,SUMMER,100,15,5,2,0,0,0,0,0,0,0,3.591
CSCE,221,LEYK T,2013,FALL,3021,39,38,10,12,1,0,0,0,16,0,3.02
CSCE,221,LEYK T,2013,SPRING,5055,64,57,30,13,4,1,0,0,15,0,2.976
CSCE,221,LEYK T,2014,FALL,3021,55,45,18,17,4,0,0,0,13,0,2.935
CSCE,221,LEYK T,2014,SPRING,3021,70,46,21,6,1,0,0,0,21,0,3.236
CSCE,221,LEYK T,2014,SUMMER,200,13,7,5,0,0,2,0,0,0,0,3.32
CSCE,221,LEYK T,2015,FALL,3021,34,57,21,7,1,0,0,0,18,0,2.967
CSCE,221,LEYK T,2015,SPRING,4052,59,60,31,6,2,0,0,0,24,0,3.063
CSCE,221,LEYK T,2015,SUMMER,401,17,15,9,4,1,1,0,0,1,0,2.935
CSCE,221,LEYK T,2016,FALL,4545,62,67,40,15,2,0,0,0,24,0,2.925
CSCE,221,LEYK T,2016,SPRING,6078,77,67,26,14,3,2,0,0,37,0,3.075
CSCE,221,LEYK T,2016,SUMMER,201,22,13,2,1,0,2,0,0,2,0,3.474
CSCE,221,LEYK T,2017,FALL,3029,58,42,13,7,0,0,0,0,8,0,3.258
CSCE,221,LEYK T,2017,SPRING,5075,73,93,33,7,3,0,0,0,17,0,3.081
CSCE,221,LEYK T,2017,SUMMER,403,18,17,12,0,0,0,0,0,1,0,3.128
CSCE,221,LEYK T,2018,SPRING,5574,111,57,26,5,0,0,0,0,10,0,3.377
CSCE,221,LEYK T,2018,SUMMER,403,18,14,4,3,0,0,0,0,1,0,3.205
CSCE,221,LEYK T,2019,SPRING,6096,112,112,37,6,0,0,0,0,14,0,3.236
CSCE,221,LEYK T,2019,SUMMER,201,9,7,2,0,0,0,0,0,0,0,3.389
CSCE,221,LEYK T,2020,FALL,6078,102,101,32,5,0,0,0,0,10,0,3.25
CSCE,221,LEYK T,2020,SPRING,6078,123,102,29,3,1,0,0,0,5,0,3.329
CSCE,221,LEYK T,2020,SUMMER,199,24,30,11,3,1,0,0,0,8,0,3.058
CSCE,221,LEYK T,2021,FALL,5055,75,113,56,7,2,0,0,0,22,0,2.996
CSCE,221,LEYK T,2021,SPRING,6174,102,100,41,3,1,0,0,0,25,0,3.211
CSCE,221,LEYK T,2021,SUMMER,700,22,33,9,5,0,0,0,0,6,0,3.043
CSCE,221,LEYK T,2022,FALL,5045,105,98,27,2,1,0,0,0,14,0,3.305
CSCE,221,LEYK T,2022,SPRING,4543,91,84,22,5,1,0,0,0,8,0,3.276
CSCE,221,LEYK T,2022,SUMMER,700,13,13,7,1,0,0,0,0,6,0,3.118
CSCE,221,LEYK T,2023,FALL,5045,111,66,41,1,1,0,0,0,14,0,3.295
CSCE,221,LEYK T,2023,SPRING,5045,132,103,36,4,0,0,0,0,5,0,3.32
CSCE,221,LEYK T,2023,SUMMER,700,8,21,12,2,0,0,0,0,1,0,2.814
CSCE,221,LEYK T,2024,SPRING,6066,120,109,35,2,0,0,0,0,12,0,3.305
CSCE,221,LUPOLI S,2019,FALL,2010,19,29,15,0,2,0,0,0,11,0,2.969
CSCE,221,LUPOLI S,2019,SPRING,2052,35,30,6,2,4,0,0,0,3,0,3.169
CSCE,221,LUPOLI S,2019,SUMMER,700,3,4,3,1,1,0,0,0,3,0,2.583
CSCE,221,LUPOLI S,2020,FALL,1027,10,10,6,0,4,0,0,0,7,0,2.733
CSCE,221,LUPOLI S,2020,SPRING,1554,39,31,12,3,1,1,0,0,0,0,3.209
CSCE,221,LUPOLI S,2021,FALL,599,44,16,6,4,3,1,0,0,10,0,3.288
CSCE,221,MAHMOUDI AZNAVEH M,2020,SPRING,1542,41,28,12,2,2,0,0,0,0,0,3.224
CSCE,221,MCGUIRE T,2019,SPRING,2062,28,40,12,1,0,0,0,0,5,0,3.173
CSCE,221,MOORE J,2015,SPRING,2026,24,31,12,3,7,0,0,0,5,0,2.805
CSCE,221,NAKAMURA E,2017,FALL,2042,42,24,1,2,4,0,0,0,5,0,3.342
CSCE,221,NAKAMURA E,2018,FALL,2023,87,18,8,6,3,1,0,0,6,0,3.475
CSCE,221,NAKAMURA E,2018,SPRING,2058,46,25,13,4,5,0,0,0,3,0,3.108
CSCE,221,PEARCE R,2022,SPRING,200,25,0,1,0,0,0,0,0,1,0,3.923
CSCE,221,PEARCE R,2023,SPRING,200,27,1,1,0,0,0,0,0,1,0,3.897
CSCE,221,PEARCE R,2024,SPRING,201,29,1,0,0,0,0,0,0,0,0,3.967
CSCE,221,POLSLEY S,2022,SPRING,2058,49,22,6,2,0,0,0,0,4,0,3.494
CSCE,221,RITCHEY P,2021,SPRING,4238,45,50,29,19,7,0,0,0,26,0,2.713
CSCE,221,RITCHEY P,2022,FALL,2046,23,21,11,3,9,0,0,0,17,0,2.687
CSCE,221,SCHAEFER S,2013,SUMMER,100,7,7,5,4,1,0,1,0,0,0,2.625
CSCE,221,SCHAEFER S,2015,SPRING,200,18,3,0,1,0,1,0,0,0,0,3.727
CSCE,221,SCHAEFER S,2017,SPRING,200,22,3,0,0,0,0,0,0,0,0,3.88
CSCE,221,SCHAEFER S,2018,FALL,201,24,6,0,0,0,0,0,0,0,0,3.8
CSCE,221,SUEDA S,2023,FALL,2046,45,28,12,3,1,0,0,0,3,0,3.27
CSCE,221,TYAGI A,2018,FALL,1012,55,13,10,1,0,0,0,0,3,0,3.544
CSCE,221,TYAGI A,2018,SPRING,200,28,2,0,0,0,0,0,0,0,0,3.933
CSCE,221,TYAGI A,2019,FALL,4068,135,35,7,2,6,0,0,0,6,0,3.573
CSCE,221,TYAGI A,2024,SPRING,3579,178,11,4,0,0,0,0,0,6,0,3.902
CSCE,221,WELCH J,2019,FALL,201,16,1,1,0,0,0,0,0,4,0,3.833
CSCE,221,WELCH J,2020,FALL,201,23,3,0,0,0,0,0,0,2,0,3.885
CSCE,221,WELCH J,2021,SPRING,200,23,7,0,0,0,0,0,0,0,0,3.767
CSCE,222,BUDIMLIC Z,2022,FALL,551,4,5,3,0,0,0,0,0,1,0,3.083
CSCE,222,BUDIMLIC Z,2023,FALL,551,8,8,2,0,0,0,0,0,0,0,3.333
CSCE,222,BUDIMLIC Z,2023,SPRING,551,3,3,1,2,1,0,0,0,0,0,2.5
CSCE,222,BUDIMLIC Z,2024,SPRING,551,5,2,4,0,0,0,0,0,1,0,3.091
CSCE,222,CARLISLE M,2019,FALL,1008,37,30,20,5,4,0,0,0,5,0,2.948
CSCE,222,CARLISLE M,2020,FALL,700,61,36,17,1,1,0,0,0,0,0,3.336
CSCE,222,CARLISLE M,2020,SPRING,1005,51,92,38,4,3,0,0,0,1,0,2.979
CSCE,222,CARLISLE M,2021,SPRING,504,33,28,15,3,2,0,0,0,8,0,3.074
CSCE,222,CARLISLE M,2022,FALL,1003,121,55,12,2,1,0,0,0,7,0,3.534
CSCE,222,CARLISLE M,2022,SPRING,1003,69,82,29,3,2,0,0,0,7,0,3.151
CSCE,222,CARLISLE M,2023,FALL,200,27,3,0,0,0,0,0,0,0,0,3.9
CSCE,222,CARLISLE M,2023,SPRING,700,68,15,9,3,1,0,0,0,1,0,3.521
CSCE,222,DAVIS T,2014,FALL,500,17,34,18,15,5,2,0,0,6,0,2.483
CSCE,222,GHOSH M,2018,FALL,505,29,42,17,4,0,0,0,0,6,0,3.043
CSCE,222,HAMMOND T,2014,SPRING,502,17,26,8,2,2,0,0,0,4,0,2.982
CSCE,222,HOUNGNINOU D,2018,FALL,1001,83,68,22,6,7,0,0,0,4,0,3.151
CSCE,222,HOUNGNINOU D,2019,FALL,505,55,29,5,0,1,0,0,0,0,0,3.522
CSCE,222,HOUNGNINOU D,2021,FALL,1007,85,76,13,9,3,1,0,0,10,0,3.242
CSCE,222,HOUNGNINOU D,2021,SPRING,1506,130,90,35,2,11,0,0,0,19,0,3.216
CSCE,222,HUANG Q,2022,FALL,500,51,26,14,1,0,0,0,0,2,0,3.38
CSCE,222,HUANG Q,2022,SPRING,599,36,33,7,2,0,0,0,0,4,0,3.321
CSCE,222,HUANG Q,2023,FALL,1001,152,41,3,2,1,0,0,0,1,0,3.714
CSCE,222,HUANG Q,2024,SPRING,504,29,23,5,0,0,0,0,0,2,0,3.421
CSCE,222,JIANG A,2016,FALL,502,49,41,0,0,0,5,0,0,3,0,3.544
CSCE,222,KLAPPENECKER A,2012,SPRING,501,13,17,9,3,2,0,0,0,9,0,2.818
CSCE,222,KLAPPENECKER A,2018,SUMMER,700,9,18,19,10,1,0,0,0,6,0,2.421
CSCE,222,KLAPPENECKER A,2019,SUMMER,701,5,11,9,2,0,1,0,0,4,0,2.704
CSCE,222,KLAPPENECKER A,2020,SUMMER,199,31,27,7,2,3,0,0,0,9,0,3.157
CSCE,222,KLAPPENECKER A,2023,SUMMER,700,19,14,3,1,1,0,0,0,2,0,3.289
CSCE,222,KOLODZIEJ S,2017,FALL,502,39,23,11,2,2,0,0,0,0,0,3.234
CSCE,222,KUHNLE A,2022,FALL,200,7,9,5,1,1,0,0,0,2,0,2.87
CSCE,222,KUMAR S,2023,SPRING,1506,106,125,23,10,3,0,0,0,25,0,3.202
CSCE,222,KUMAR S,2024,SPRING,1506,70,101,40,5,3,0,0,0,24,0,3.05
CSCE,222,LEE H,2012,SPRING,502,20,26,24,14,16,0,0,0,21,0,2.2
CSCE,222,LEE H,2012,SUMMER,100,9,9,5,1,0,0,0,0,1,0,3.083
CSCE,222,LEE H,2013,FALL,500,34,39,20,7,2,0,0,0,16,0,2.941
CSCE,222,LEE H,2013,SPRING,501,24,14,18,10,11,0,0,0,11,0,2.39
CSCE,222,LEE H,2014,FALL,501,13,24,11,1,0,0,0,0,11,0,3.0
CSCE,222,LEE H,2014,SPRING,501,46,28,18,7,5,0,0,0,14,0,2.99
CSCE,222,LEE H,2015,SPRING,1003,27,73,44,7,4,0,0,0,30,0,2.723
CSCE,222,LEE H,2016,FALL,501,32,39,9,4,2,0,0,0,8,0,3.105
CSCE,222,LEE H,2016,SPRING,1003,34,62,30,4,2,0,0,0,45,0,2.924
CSCE,222,LEE H,2016,SUMMER,700,10,13,12,4,2,0,0,0,2,0,2.61
CSCE,222,LEE H,2017,SPRING,1005,33,46,22,12,7,0,0,0,26,1,2.717
CSCE,222,LEE H,2017,SUMMER,700,9,12,18,6,1,0,0,0,5,0,2.478
CSCE,222,LEE H,2018,FALL,1007,49,75,36,4,2,0,0,0,26,0,2.994
CSCE,222,LEE H,2018,SPRING,503,32,31,12,4,0,0,0,0,10,0,3.152
CSCE,222,LEE H,2019,FALL,1007,65,54,29,4,4,0,0,0,21,0,3.103
CSCE,222,LEE H,2019,SPRING,501,23,29,16,5,2,0,0,0,14,0,2.88
CSCE,222,LEE H,2020,FALL,1009,57,61,31,7,4,0,0,0,24,0,3.0
CSCE,222,LEE H,2021,FALL,1508,41,64,50,9,2,2,0,0,56,0,2.801
CSCE,222,LEE H,2021,SUMMER,700,5,19,16,2,1,0,0,0,9,0,2.581
CSCE,222,LEE H,2022,FALL,1794,139,56,19,7,4,1,0,0,32,0,3.418
CSCE,222,LEE H,2022,SUMMER,700,19,17,0,1,0,0,0,0,4,0,3.459
CSCE,222,LEE H,2023,FALL,1791,148,64,24,6,3,1,0,0,46,0,3.42
CSCE,222,LEYK T,2012,FALL,500,47,36,27,9,0,1,0,0,7,0,3.017
CSCE,222,LEYK T,2013,SUMMER,100,12,8,4,0,0,0,0,0,0,0,3.333
CSCE,222,LEYK T,2015,FALL,502,21,29,24,1,0,0,0,0,15,0,2.933
CSCE,222,LEYK T,2017,FALL,500,31,38,16,0,0,0,0,0,7,0,3.176
CSCE,222,LEYK T,2019,FALL,501,19,27,21,0,1,0,0,0,4,0,2.926
CSCE,222,LUPOLI S,2023,FALL,599,76,10,3,0,0,0,0,0,3,0,3.82
CSCE,222,MCGUIRE T,2019,FALL,500,11,17,10,1,0,0,0,0,5,0,2.974
CSCE,222,MCGUIRE T,2019,SPRING,502,20,24,23,5,5,0,0,0,9,0,2.636
CSCE,222,MCGUIRE T,2020,FALL,1005,83,49,20,8,4,0,0,0,3,0,3.213
CSCE,222,MOORE J,2014,FALL,502,12,15,12,0,3,0,0,0,3,0,2.786
CSCE,222,RITCHEY P,2015,FALL,505,10,24,24,8,2,0,0,0,22,0,2.471
CSCE,222,RITCHEY P,2015,SPRING,503,14,21,23,8,4,0,0,0,22,0,2.471
CSCE,222,RITCHEY P,2016,FALL,503,5,15,17,8,6,0,0,0,33,0,2.098
CSCE,222,RITCHEY P,2017,FALL,1004,18,27,35,7,10,0,0,0,55,0,2.371
CSCE,222,RITCHEY P,2018,SPRING,1003,20,25,39,13,14,7,0,0,18,0,2.216
CSCE,222,RITCHEY P,2019,SPRING,503,11,30,3,6,5,0,0,0,7,0,2.655
CSCE,222,SARIN V,2014,SUMMER,100,6,13,7,1,1,0,0,0,0,0,2.786
CSCE,222,SARIN V,2015,SUMMER,100,9,16,13,2,0,0,0,0,1,0,2.8
CSCE,222,SARIN V,2018,FALL,702,45,44,7,0,0,0,0,0,2,0,3.396
CSCE,222,SZE S,2012,FALL,200,9,1,0,0,0,0,0,0,0,0,3.9
CSCE,222,SZE S,2013,FALL,200,16,2,0,0,0,0,0,0,0,0,3.889
CSCE,222,SZE S,2013,SPRING,502,20,25,7,1,1,0,0,0,1,0,3.148
CSCE,222,SZE S,2014,FALL,200,23,2,0,0,0,0,0,0,0,0,3.92
CSCE,222,SZE S,2016,FALL,200,20,3,0,0,0,0,0,0,0,0,3.87
CSCE,222,SZE S,2016,SPRING,703,46,34,13,2,6,1,0,0,3,0,3.109
CSCE,222,SZE S,2017,FALL,200,19,7,0,1,0,0,0,0,0,0,3.63
CSCE,222,SZE S,2017,SPRING,704,57,25,4,0,3,0,0,0,0,0,3.494
CSCE,222,SZE S,2019,SPRING,201,23,4,0,0,0,0,0,0,1,0,3.852
CSCE,222,SZE S,2020,FALL,501,53,39,2,0,0,0,0,0,2,0,3.543
CSCE,222,SZE S,2020,SPRING,702,67,25,3,2,0,1,0,0,1,0,3.619
CSCE,222,SZE S,2021,FALL,500,49,44,4,0,0,0,0,0,2,0,3.464
CSCE,222,SZE S,2022,SPRING,706,62,26,4,0,0,0,0,0,6,0,3.63
CSCE,222,SZE S,2024,SPRING,500,67,27,3,0,0,0,0,0,2,0,3.66
CSCE,222,TALMAGE E,2017,FALL,504,11,22,24,7,0,0,0,0,24,0,2.578
CSCE,222,WARD R,2015,FALL,509,21,31,12,3,6,1,0,0,17,0,2.795
CSCE,222,WELCH J,2015,SPRING,200,11,4,0,1,0,0,0,0,2,0,3.562
CSCE,222,WELCH J,2019,FALL,200,23,2,1,0,0,0,0,0,4,0,3.846
CSCE,222,WELCH J,2021,FALL,200,24,4,0,0,0,0,0,0,1,0,3.857
CSCE,310,CHEN J,2017,SUMMER,200,13,20,3,0,2,0,0,0,1,0,3.105
CSCE,310,HAWLEY D,2024,SPRING,550,4,4,1,1,0,0,0,0,0,0,3.1
CSCE,310,JIANG A,2013,SPRING,500,49,11,0,0,2,0,0,0,1,0,3.694
CSCE,310,JIANG A,2014,SPRING,500,38,37,4,0,0,0,0,0,0,0,3.43
CSCE,310,JIANG A,2015,SUMMER,200,37,23,0,0,0,1,0,0,0,0,3.617
CSCE,310,JIANG A,2016,SUMMER,200,43,15,0,0,0,1,0,0,0,0,3.741
CSCE,310,JIANG A,2018,SUMMER,200,21,7,0,0,0,1,0,0,0,0,3.75
CSCE,310,LANCLOS C,2022,FALL,500,76,19,2,0,0,0,0,0,2,0,3.763
CSCE,310,LANCLOS C,2022,SPRING,500,80,19,0,0,0,0,0,0,1,0,3.808
CSCE,310,LANCLOS C,2023,FALL,500,82,10,2,0,0,0,0,0,1,0,3.851
CSCE,310,LANCLOS C,2023,SPRING,500,67,26,5,0,0,0,0,0,1,0,3.633
CSCE,310,MCGUIRE T,2020,FALL,500,40,14,4,1,1,0,0,0,0,0,3.517
CSCE,310,MCGUIRE T,2021,FALL,500,83,13,1,0,0,0,0,0,0,0,3.845
CSCE,310,NGUYEN T,2024,SPRING,500,88,4,5,0,0,0,0,0,2,0,3.856
CSCE,310,WADE P,2021,SUMMER,700,15,6,0,0,0,0,0,0,0,0,3.714
CSCE,310,WADE P,2022,SUMMER,700,35,20,3,0,0,0,0,0,2,0,3.552
CSCE,310,WADE P,2023,SUMMER,700,23,8,1,0,0,0,0,0,2,0,3.688
CSCE,310,WARD R,2017,FALL,500,19,17,7,2,0,0,0,0,2,0,3.178
CSCE,310,WARD R,2017,SPRING,500,21,15,9,2,0,0,0,0,3,0,3.17
CSCE,310,WARD R,2018,SPRING,500,20,16,9,1,1,0,0,0,4,0,3.128
CSCE,310,WARD R,2019,SPRING,500,17,21,14,3,1,0,0,0,2,0,2.893
CSCE,310,WARD R,2020,SPRING,500,18,23,12,4,0,0,0,0,1,0,2.965
CSCE,312,DASS J,2018,FALL,1009,9,16,7,2,1,0,0,0,0,0,2.857
CSCE,312,DASS J,2020,FALL,2010,15,17,5,2,3,0,0,0,2,0,2.929
CSCE,312,DUYSAK A,2023,FALL,550,6,0,0,0,0,0,0,0,0,0,4.0
CSCE,312,DUYSAK A,2023,SPRING,551,10,3,0,0,0,0,0,0,0,0,3.769
CSCE,312,DUYSAK A,2024,SPRING,551,11,3,0,0,0,0,0,0,0,0,3.786
CSCE,312,HAMMOND T,2014,SUMMER,100,11,5,1,0,0,1,0,0,0,0,3.588
CSCE,312,HOUNGNINOU D,2020,SPRING,2038,37,37,13,3,3,0,0,0,0,0,3.097
CSCE,312,HOUNGNINOU D,2021,FALL,2022,41,32,13,1,4,1,0,0,3,0,3.154
CSCE,312,JIMENEZ D,2017,SPRING,1003,11,21,13,5,2,0,0,0,2,0,2.654
CSCE,312,JIMENEZ D,2018,SPRING,1003,13,27,6,1,4,0,0,0,4,0,2.863
CSCE,312,JIMENEZ D,2021,FALL,1506,57,5,5,2,2,0,0,0,2,0,3.592
CSCE,312,JIMENEZ D,2022,SPRING,4060,88,46,10,4,1,0,0,0,0,0,3.45
CSCE,312,JIMENEZ D,2023,FALL,1512,38,19,14,0,2,0,0,0,2,0,3.247
CSCE,312,JIMENEZ D,2024,SPRING,2038,80,12,2,0,0,0,0,0,0,0,3.83
CSCE,312,KIM E,2014,SPRING,1003,19,9,9,2,0,0,0,0,4,0,3.154
CSCE,312,KIM E,2015,FALL,200,14,7,0,0,0,0,0,0,1,0,3.667
CSCE,312,KIM E,2015,SPRING,1506,40,24,14,8,0,0,0,0,0,0,3.116
CSCE,312,KIM E,2016,FALL,200,15,4,1,0,0,0,0,0,0,0,3.7
CSCE,312,KIM E,2017,FALL,200,11,1,0,0,0,0,0,0,0,0,3.917
CSCE,312,KIM E,2018,FALL,200,10,4,0,0,0,0,0,0,0,0,3.714
CSCE,312,KIM E,2018,SPRING,1207,39,8,11,0,1,0,0,0,0,0,3.424
CSCE,312,KIM E,2018,SUMMER,200,16,6,4,1,2,0,0,0,0,0,3.138
CSCE,312,KIM E,2019,FALL,1211,23,22,8,0,1,0,0,0,1,0,3.222
CSCE,312,KIM E,2019,SPRING,2243,19,26,17,0,2,0,0,0,14,0,2.938
CSCE,312,KIM E,2020,SPRING,1214,25,23,11,1,1,2,0,0,2,0,3.148
CSCE,312,KIM E,2021,SPRING,1009,17,10,1,0,0,0,0,0,2,0,3.571
CSCE,312,KIM E,2022,FALL,1715,44,32,10,0,0,0,0,0,6,0,3.395
CSCE,312,KIM E,2022,SPRING,2207,47,20,12,0,2,0,0,0,4,0,3.358
CSCE,312,KIM E,2023,SPRING,2206,47,34,10,2,1,1,0,0,2,0,3.319
CSCE,312,KIM E,2024,SPRING,2418,97,22,2,1,1,0,0,0,2,0,3.732
CSCE,312,LEE H,2013,SPRING,1003,16,22,12,3,9,0,0,0,3,0,2.532
CSCE,312,MAHAPATRA R,2012,FALL,1506,23,35,14,1,6,0,0,0,2,0,2.861
CSCE,312,MAHAPATRA R,2012,SPRING,1506,13,22,12,3,3,0,0,0,2,0,2.736
CSCE,312,MAHAPATRA R,2013,FALL,1506,28,35,24,5,5,0,0,0,0,0,2.784
CSCE,312,MAHAPATRA R,2014,FALL,2010,26,42,26,8,7,0,0,0,2,0,2.661
CSCE,312,MAHAPATRA R,2015,FALL,1506,25,38,27,5,0,0,0,0,1,0,2.874
CSCE,312,MAHAPATRA R,2023,SPRING,2022,24,37,16,3,2,0,0,0,6,0,2.951
CSCE,312,MAHAPATRA R,2024,SPRING,2022,25,49,10,0,3,0,0,0,4,0,3.069
CSCE,312,MUZAHID A,2020,SPRING,1009,16,22,6,0,0,0,0,0,0,0,3.227
CSCE,312,MUZAHID A,2022,FALL,1503,25,19,11,1,4,0,0,0,7,0,3.0
CSCE,312,MUZAHID A,2024,SPRING,2054,41,23,2,1,0,0,0,0,1,0,3.552
CSCE,312,TYAGI A,2015,FALL,1009,23,13,6,0,1,0,0,0,0,0,3.326
CSCE,312,TYAGI A,2016,FALL,1515,38,39,13,2,0,5,0,0,1,0,3.228
CSCE,312,TYAGI A,2016,SPRING,1506,25,43,24,4,1,0,0,0,0,0,2.897
CSCE,312,TYAGI A,2016,SUMMER,301,11,11,5,0,1,1,0,0,1,0,3.107
CSCE,312,TYAGI A,2017,FALL,2012,25,39,28,2,3,1,0,0,3,0,2.835
CSCE,312,TYAGI A,2017,SUMMER,301,21,9,2,0,0,1,0,0,0,0,3.594
CSCE,312,TYAGI A,2018,FALL,1003,30,20,6,1,1,0,0,0,2,0,3.328
CSCE,312,TYAGI A,2018,SPRING,1719,49,20,11,7,3,1,0,0,9,0,3.167
CSCE,312,TYAGI A,2019,FALL,1506,59,13,13,2,0,1,0,0,0,0,3.483
CSCE,312,TYAGI A,2019,SPRING,3733,99,57,30,4,0,1,0,0,2,0,3.321
CSCE,312,TYAGI A,2019,SUMMER,701,9,8,7,1,0,1,0,0,1,0,3.0
CSCE,312,TYAGI A,2020,FALL,3579,67,28,12,0,1,1,0,0,2,0,3.481
CSCE,312,TYAGI A,2020,SPRING,2006,59,29,4,3,0,1,0,0,0,0,3.516
CSCE,312,TYAGI A,2020,SUMMER,299,39,11,4,1,0,1,0,0,2,0,3.6
CSCE,312,TYAGI A,2021,SPRING,6282,193,85,38,5,2,2,0,0,19,0,3.43
CSCE,312,TYAGI A,2021,SUMMER,401,21,15,7,2,3,1,0,0,1,0,3.021
CSCE,312,TYAGI A,2022,SPRING,2985,72,42,5,0,0,0,0,0,6,0,3.563
CSCE,312,TYAGI A,2022,SUMMER,797,15,11,5,3,1,0,0,0,0,0,3.029
CSCE,312,TYAGI A,2023,FALL,1703,78,15,1,0,0,0,0,0,1,0,3.819
CSCE,312,TYAGI A,2023,SPRING,3878,163,22,5,1,0,2,0,0,4,0,3.817
CSCE,312,TYAGI A,2023,SUMMER,700,19,14,2,4,1,1,0,0,1,0,3.15
CSCE,312,YUM K,2016,FALL,1506,18,15,6,3,4,0,0,0,2,0,2.87
CSCE,312,YUM K,2017,SPRING,1010,20,21,14,1,4,2,0,0,1,0,2.867
CSCE,313,AHMED S,2016,FALL,2515,43,63,27,5,7,1,0,0,5,0,2.897
CSCE,313,AHMED S,2017,SPRING,1506,13,25,10,3,2,0,0,0,2,0,2.83
CSCE,313,AHMED S,2018,FALL,4545,95,102,36,12,13,1,0,0,38,0,2.984
CSCE,313,AHMED S,2018,SPRING,3033,38,40,30,6,14,0,0,0,29,0,2.641
CSCE,313,AHMED S,2019,FALL,6078,155,63,27,3,15,0,0,0,23,0,3.293
CSCE,313,AHMED S,2019,SPRING,4044,34,58,50,4,19,0,0,0,27,0,2.509
CSCE,313,AHMED S,2019,SUMMER,700,5,5,3,0,7,0,0,0,2,0,2.05
CSCE,313,AHMED S,2020,FALL,6078,180,64,11,4,7,1,0,0,7,0,3.526
CSCE,313,AHMED S,2020,SPRING,4043,79,57,40,2,14,0,0,0,3,0,2.964
CSCE,313,AHMED S,2020,SUMMER,199,31,16,8,2,9,0,0,0,9,0,2.879
CSCE,313,AHMED S,2021,FALL,5927,138,49,10,1,13,1,0,0,15,0,3.412
CSCE,313,AHMED S,2021,SPRING,5568,81,68,24,4,13,1,0,0,29,0,3.053
CSCE,313,AHMED S,2021,SUMMER,700,14,12,11,5,2,0,0,0,1,0,2.705
CSCE,313,BETTATI R,2012,SUMMER,200,5,8,2,0,5,0,0,0,0,0,2.4
CSCE,313,BETTATI R,2013,SPRING,2010,23,44,22,11,12,0,0,0,13,0,2.491
CSCE,313,BETTATI R,2013,SUMMER,100,9,10,3,4,2,1,0,0,0,0,2.714
CSCE,313,BETTATI R,2014,SPRING,2010,26,41,11,10,15,0,0,0,19,0,2.515
CSCE,313,BETTATI R,2014,SUMMER,200,8,12,4,1,1,0,0,0,2,0,2.962
CSCE,313,BETTATI R,2015,FALL,1515,10,15,7,2,5,5,0,0,6,0,2.59
CSCE,313,BETTATI R,2015,SUMMER,100,7,8,8,1,0,0,0,0,5,0,2.875
CSCE,313,BETTATI R,2016,SPRING,1506,10,14,8,5,6,1,0,0,4,0,2.395
CSCE,313,BETTATI R,2016,SUMMER,200,7,7,7,1,2,0,0,0,2,0,2.667
CSCE,313,BETTATI R,2017,FALL,3021,36,79,43,8,13,3,0,0,15,0,2.654
CSCE,313,BETTATI R,2019,FALL,2058,19,31,18,1,9,0,0,0,14,0,2.641
CSCE,313,BETTATI R,2020,FALL,2058,19,29,10,2,6,9,0,0,8,0,2.803
CSCE,313,BETTATI R,2020,SPRING,200,8,5,0,0,0,0,0,0,2,0,3.615
CSCE,313,GU G,2012,FALL,2010,29,34,11,6,12,0,0,0,7,0,2.674
CSCE,313,GU G,2012,SPRING,1003,14,23,5,2,3,0,0,0,1,0,2.915
CSCE,313,GU G,2014,SPRING,200,12,3,0,0,1,0,0,0,0,0,3.562
CSCE,313,GU G,2015,SPRING,200,5,2,1,0,0,0,0,0,0,0,3.5
CSCE,313,GU G,2017,SPRING,200,17,6,0,0,0,0,0,0,2,0,3.739
CSCE,313,HASSANZADEH A,2013,FALL,2010,47,30,15,11,1,2,0,0,12,0,3.067
CSCE,313,HAWLEY D,2023,FALL,520,7,2,0,0,0,0,0,0,1,0,3.778
CSCE,313,HAWLEY D,2024,SPRING,550,5,2,1,0,0,0,0,0,0,0,3.5
CSCE,313,HOUNGNINOU D,2022,FALL,6066,154,57,21,8,13,0,0,0,21,0,3.308
CSCE,313,HOUNGNINOU D,2023,FALL,4028,157,22,5,0,1,0,0,0,5,0,3.805
CSCE,313,HOUNGNINOU D,2023,SPRING,5054,88,43,17,8,8,0,0,0,5,0,3.189
CSCE,313,HOUNGNINOU D,2023,SUMMER,1000,8,9,4,4,0,0,0,0,1,0,2.84
CSCE,313,HOUNGNINOU D,2024,SPRING,4028,126,26,12,3,4,0,0,0,8,0,3.561
CSCE,313,KUMAR S,2023,FALL,6162,112,138,13,1,2,0,0,0,11,0,3.342
CSCE,313,LOGUINOV D,2013,SPRING,200,5,2,0,0,0,0,0,0,1,0,3.714
CSCE,313,LOGUINOV D,2016,SPRING,200,4,2,0,0,0,0,0,0,1,0,3.667
CSCE,313,LOGUINOV D,2018,SPRING,200,13,3,0,0,1,0,0,0,5,0,3.588
CSCE,313,LOGUINOV D,2019,FALL,201,14,6,1,0,0,0,0,0,5,0,3.619
CSCE,313,LOGUINOV D,2019,SPRING,200,12,7,0,0,0,0,0,0,3,0,3.632
CSCE,313,LOGUINOV D,2020,FALL,201,13,3,5,0,0,0,0,0,3,0,3.381
CSCE,313,LOGUINOV D,2022,SPRING,200,14,2,0,0,0,0,0,0,2,0,3.875
